Section,Item,Field,Description,Priority,Example / Current Value,Your Input
4. Services — Graphic Design,Description,text ~60 words,,Must-have,,
4. Services — Graphic Design,Intro,text ~80 words,,Must-have,,
4. Services — Graphic Design,Sub-sections (4),heading + body each,Same structure as above,Must-have,,
4. Services — Graphic Design,Outcomes,list 3–4,,Must-have,,
4. Services — Graphic Design,Deliverables,list 4–6,,Must-have,,
4. Services — Graphic Design,Tools,list 4–6,,Must-have,,
4. Services — Graphic Design,Engagement line,text,,Must-have,,
4. Services — Graphic Design,Accent color,hex,,Nice-to-have,#e6d8d0,
4. Services — Video Editing,Tagline,text,,Must-have,Motion that makes people stop scrolling.,
4. Services — Video Editing,Description,text ~60 words,,Must-have,,
4. Services — Video Editing,Intro,text ~80 words,,Must-have,,
4. Services — Video Editing,Sub-sections (4),heading + body each,,Must-have,,
4. Services — Video Editing,Outcomes,list 3–4,,Must-have,,
4. Services — Video Editing,Deliverables,list 4–6,,Must-have,,
4. Services — Video Editing,Tools,list 4–6,,Must-have,,
4. Services — Video Editing,Engagement line,text,,Must-have,,
4. Services — Video Editing,Accent color,hex,,Nice-to-have,#c6c2d0,
4. Services — Web Design,Tagline,text,,Must-have,Interfaces that feel alive.,
4. Services — Web Design,Description,text ~60 words,,Must-have,,
4. Services — Web Design,Intro,text ~80 words,,Must-have,,
4. Services — Web Design,Sub-sections (4),heading + body each,,Must-have,,
4. Services — Web Design,Outcomes,list 3–4,,Must-have,,
4. Services — Web Design,Deliverables,list 4–6,,Must-have,,
4. Services — Web Design,Tools,list 4–6,,Must-have,,
4. Services — Web Design,Engagement line,text,,Must-have,,
4. Services — Web Design,Accent color,hex,,Nice-to-have,#c8d4db,
4. Services — Web Development,Tagline,text,,Must-have,"Blazing-fast, search-friendly, beautifully built.",
4. Services — Web Development,Description,text ~60 words,,Must-have,,
4. Services — Web Development,Intro,text ~80 words,,Must-have,,
4. Services — Web Development,Sub-sections (4),heading + body each,,Must-have,,
4. Services — Web Development,Outcomes,list 3–4,,Must-have,,
4. Services — Web Development,Deliverables,list 4–6,,Must-have,,
4. Services — Web Development,Tools,list 4–6,,Must-have,,
4. Services — Web Development,Engagement line,text,,Must-have,,
4. Services — Web Development,Accent color,hex,,Nice-to-have,#9a9a97,
4. Services — Software Development,Tagline,text,,Must-have,Products engineered to scale.,
4. Services — Software Development,Description,text ~60 words,,Must-have,,
4. Services — Software Development,Intro,text ~80 words,,Must-have,,
4. Services — Software Development,Sub-sections (4),heading + body each,,Must-have,,
4. Services — Software Development,Outcomes,list 3–4,,Must-have,,
4. Services — Software Development,Deliverables,list 4–6,,Must-have,,
4. Services — Software Development,Tools,list 4–6,,Must-have,,
4. Services — Software Development,Engagement line,text,,Must-have,,
4. Services — Software Development,Accent color,hex,,Nice-to-have,#d9d9d5,
4. Services — App Development,Tagline,text,,Must-have,Mobile experiences with craft.,
4. Services — App Development,Description,text ~60 words,,Must-have,,
4. Services — App Development,Intro,text ~80 words,,Must-have,,
4. Services — App Development,Sub-sections (4),heading + body each,,Must-have,,
4. Services — App Development,Outcomes,list 3–4,,Must-have,,
4. Services — App Development,Deliverables,list 4–6,,Must-have,,
4. Services — App Development,Tools,list 4–6,,Must-have,,
4. Services — App Development,Engagement line,text,,Must-have,,
4. Services — App Development,Accent color,hex,,Nice-to-have,#bfbfbc,
5. Tier — Sprint,Starting price,text,"Shown on home tier card (e.g. $6k, ₹5L)",Must-have,$6k,
5. Tier — Sprint,Duration,text,Project duration window,Must-have,2–3 weeks,
5. Tier — Sprint,Ideal for,text (1 sentence),Who this tier suits,Must-have,"Landing page, microsite, identity refresh, or a single critical flow.",
5. Tier — Sprint,Included bullets,list 4–5,What's included,Must-have,,
5. Tier — Project,Starting price,text,,Must-have,$24k,
5. Tier — Project,Duration,text,,Must-have,6–12 weeks,
5. Tier — Project,Ideal for,text (1 sentence),,Must-have,"Marketing sites, e-commerce, brand systems, product MVPs.",
5. Tier — Project,Included bullets,list 4–5,,Must-have,,
5. Tier — Partnership,Starting price,text,,Must-have,$14k / mo,
5. Tier — Partnership,Duration,text,,Must-have,3-month minimum,
5. Tier — Partnership,Ideal for,text (1 sentence),,Must-have,"Scaling brands that need continuous craft — product, marketing, content.",
5. Tier — Partnership,Included bullets,list 4–5,,Must-have,,
6. Work — Case Study 1,Project title,text,Title of case study,Must-have,,
6. Work — Case Study 1,Slug,text (kebab-case),URL slug — /work/[slug],Must-have,,
6. Work — Case Study 1,Client name,text,Or "Concept" if self-initiated,Must-have,,
6. Work — Case Study 1,Year,number,,Must-have,,
6. Work — Case Study 1,Status,concept / live,,Must-have,,
6. Work — Case Study 1,Summary,text (1 line),Tile subtitle,Must-have,,
6. Work — Case Study 1,Tags,list of 3–5,"Brand, Product design, Web, App, etc.",Must-have,,
6. Work — Case Study 1,Cover gradient,two hex colors,"Fallback if no image (e.g. #0a0a0a, #e6d8d0)",Fallback,,
6. Work — Case Study 1,Hero image,image 2400×1350 min,Case study hero (16:9),Must-have,,
6. Work — Case Study 1,Problem,text ~80 words,"Section 1 of the story",Must-have,,
6. Work — Case Study 1,Approach,text ~120 words,"Section 2 of the story",Must-have,,
6. Work — Case Study 1,Outcome,text ~80 words,"Section 3 of the story",Must-have,,
6. Work — Case Study 1,Supporting images,4–8 images 2400px wide,Mockups / process / screens,Must-have,,
6. Work — Case Study 1,Outcome metrics,list,Optional KPIs / stats,Nice-to-have,,
6. Work — Case Study 1,Credits,text,Collaborators / agencies,Nice-to-have,,
6. Work — Case Study 1,External link,URL,Live site / App Store,Nice-to-have,,
6. Work — Case Study 2,Project title,text,,Must-have,,
6. Work — Case Study 2,Slug,text,,Must-have,,
6. Work — Case Study 2,Client name,text,,Must-have,,
6. Work — Case Study 2,Year,number,,Must-have,,
6. Work — Case Study 2,Status,concept / live,,Must-have,,
6. Work — Case Study 2,Summary,text (1 line),,Must-have,,
6. Work — Case Study 2,Tags,list 3–5,,Must-have,,
6. Work — Case Study 2,Cover gradient,two hex colors,,Fallback,,
6. Work — Case Study 2,Hero image,image 2400×1350,,Must-have,,
6. Work — Case Study 2,Problem,text ~80 words,,Must-have,,
6. Work — Case Study 2,Approach,text ~120 words,,Must-have,,
6. Work — Case Study 2,Outcome,text ~80 words,,Must-have,,
6. Work — Case Study 2,Supporting images,4–8 images,,Must-have,,
6. Work — Case Study 2,Outcome metrics,list,,Nice-to-have,,
6. Work — Case Study 2,Credits,text,,Nice-to-have,,
6. Work — Case Study 2,External link,URL,,Nice-to-have,,
6. Work — Case Studies 3–6,Duplicate rows above for each,—,Optional — can stay as teasers,Optional,,
7. Lab — Experiment 1,Title,text,Experiment name,Must-have,Liquid Ink Orb,
7. Lab — Experiment 1,Kind,text (1 line),e.g. "WebGL · Shader",Must-have,,
7. Lab — Experiment 1,Summary,text ~50 words,,Must-have,,
7. Lab — Experiment 1,Tech tags,list 2–4,"GLSL, react-three-fiber, etc.",Must-have,,
7. Lab — Experiment 1,Accent color,hex,,Nice-to-have,#bfbfbc,
7. Lab — Experiment 1,Preview media,image or gif 1600×900,Replace gradient placeholder,Nice-to-have,,
7. Lab — Experiment 1,Source link,URL,GitHub / CodePen,Nice-to-have,,
7. Lab — Experiments 2–6,Duplicate rows above,—,Same fields per experiment,Must-have,,
8. Process,Step 1 title,text (1 word),,Must-have,Discover,
8. Process,Step 1 body,text ~40 words,,Must-have,,
8. Process,Step 2 title,text,,Must-have,Design,
8. Process,Step 2 body,text ~40 words,,Must-have,,
8. Process,Step 3 title,text,,Must-have,Develop,
8. Process,Step 3 body,text ~40 words,,Must-have,,
8. Process,Step 4 title,text,,Must-have,Deploy,
8. Process,Step 4 body,text ~40 words,,Must-have,,
8. Process,Step 5 title,text,,Must-have,Grow,
8. Process,Step 5 body,text ~40 words,,Must-have,,
9. Insights — Post 1,Title,text,Article title,Must-have,,
9. Insights — Post 1,Slug,text kebab-case,URL slug,Must-have,,
9. Insights — Post 1,Excerpt,text (1 line),Card subtitle,Must-have,,
9. Insights — Post 1,Date,YYYY-MM-DD,Publish date,Must-have,,
9. Insights — Post 1,Reading time,text,"e.g. ""4 min""",Must-have,,
9. Insights — Post 1,Body,text 400–1200 words,Full article (plain paragraphs or markdown),Must-have,,
9. Insights — Post 1,Cover image,image 1600×900,Optional hero,Nice-to-have,,
9. Insights — Post 1,Author,text,Attribution,Nice-to-have,,
9. Insights — Post 2,Title,text,,Must-have,,
9. Insights — Post 2,Slug,text,,Must-have,,
9. Insights — Post 2,Excerpt,text,,Must-have,,
9. Insights — Post 2,Date,YYYY-MM-DD,,Must-have,,
9. Insights — Post 2,Reading time,text,,Must-have,,
9. Insights — Post 2,Body,text 400–1200 words,,Must-have,,
9. Insights — Post 2,Cover image,image 1600×900,,Nice-to-have,,
9. Insights — Post 2,Author,text,,Nice-to-have,,
9. Insights — Post 3,Title,text,,Must-have,,
9. Insights — Post 3,Slug,text,,Must-have,,
9. Insights — Post 3,Excerpt,text,,Must-have,,
9. Insights — Post 3,Date,YYYY-MM-DD,,Must-have,,
9. Insights — Post 3,Reading time,text,,Must-have,,
9. Insights — Post 3,Body,text 400–1200 words,,Must-have,,
9. Insights — Post 3,Cover image,image 1600×900,,Nice-to-have,,
9. Insights — Post 3,Author,text,,Nice-to-have,,
10. Contact,Primary email,email,Inbox for inquiries,Must-have,,
10. Contact,Calendar booking URL,URL,"Cal.com / Calendly / Savvycal link",Must-have,,
10. Contact,Phone or WhatsApp,text,Optional direct line,Nice-to-have,,
10. Contact,Form receiver email,email,Where form submissions land,Must-have,,
10. Contact,Email provider,Resend / SendGrid / Postmark,Transactional email service,Must-have,,
10. Contact,Email API key,secret,Store in .env as RESEND_API_KEY or similar,Must-have,,
10. Contact,Success message,text ~20 words,Shown after form submit,Must-have,,
10. Contact,Response SLA,text,"e.g. ""We respond within 1 business day""",Must-have,,
10. Contact,Mailing address,text,Legal address if needed for footer,Nice-to-have,,
11. Home copy,Hero headline,text,Big H1 on hero,Must-have,We craft digital experiences that feel refined.,
11. Home copy,Hero sub-paragraph,text ~30 words,Below the H1,Must-have,,
11. Home copy,Hero CTA 1 label,text,Primary button,Must-have,Start a project,
11. Home copy,Hero CTA 2 label,text,Secondary button,Must-have,See the work,
11. Home copy,Positioning headline,text ~20 words,Positioning section H2,Must-have,"A studio for brands who treat their site as a product, not a brochure.",
11. Home copy,Manifesto paragraph,text ~30 words,Big scrolling text block,Must-have,,
11. Home copy,Final CTA headline,text,Large text in CtaBand,Must-have,Let's talk.,
11. Home copy,Final CTA button label,text,,Must-have,Start a project,
12. Footer,Colophon text,text ~50 words,Tech + type stack blurb,Must-have,"Built with Next.js, Tailwind and React Three Fiber…",
12. Footer,Location text,text ~30 words,Remote-first / timezone blurb,Must-have,Remote-first · Based in IST (UTC+5:30)…,
12. Footer,Legal copyright name,text,Company/entity holding the copyright,Must-have,Aureo,
12. Footer,Privacy policy link,internal route or URL,,If collecting data,,
12. Footer,Terms of service link,internal route or URL,,Nice-to-have,,
13. Legal,Privacy policy,text,Full copy of privacy policy,If collecting data,,
13. Legal,Terms of service,text,Full copy of ToS,Nice-to-have,,
13. Legal,Cookie notice,text,Only needed if non-cookieless analytics,If applicable,,
13. Legal,Imprint / Impressum,text,Only required for EU/German audience,If applicable,,
14. SEO / Meta,Site title pattern,text,Format for per-page titles,Must-have,%s — Aureo,
14. SEO / Meta,Default description,text ≤160 chars,Fallback meta description,Must-have,,
14. SEO / Meta,Default OG image,image 1200×630,Can auto-generate; replace if desired,Must-have,,
14. SEO / Meta,Keywords,list 6–10,Comma-separated keywords,Nice-to-have,,
14. SEO / Meta,Google Search Console token,text,Verification meta tag or file,Nice-to-have,,
14. SEO / Meta,Plausible domain,text,"env NEXT_PUBLIC_PLAUSIBLE_DOMAIN (e.g. aureo.studio)",Nice-to-have,,
14. SEO / Meta,Google Analytics ID,text,Optional alternative to Plausible,Optional,,
15. Assets & Media,Hero video,mp4/webm,Optional brand film for hero,Optional,,
15. Assets & Media,Licensed display font,woff2 + license file,Replace Space Grotesk if desired,Optional,,
15. Assets & Media,Licensed body font,woff2 + license file,Replace Inter if desired,Optional,,
15. Assets & Media,Custom hover sound,wav/mp3,Replace procedural sound if desired,Optional,,
15. Assets & Media,Custom click sound,wav/mp3,Replace procedural sound if desired,Optional,,
15. Assets & Media,Custom transition sound,wav/mp3,Replace procedural sound if desired,Optional,,
